Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteGhibli,Chrome 69.0.3497.81,,2018-09-07 17:19:41,2018-09-07 17:20:55,"1m - 13,775s",FAILED
,,,,,,
Test Cases/OpenBrowser,Chrome 69.0.3497.81,,2018-09-07 17:19:42,2018-09-07 17:19:52,"10,608s",PASSED
openBrowser,Chrome 69.0.3497.81,,2018-09-07 17:19:42,2018-09-07 17:19:46,"3,594s",PASSED
maximizeWindow,Chrome 69.0.3497.81,,2018-09-07 17:19:46,2018-09-07 17:19:47,"1,244s",PASSED
navigateToUrl,Chrome 69.0.3497.81,,2018-09-07 17:19:47,2018-09-07 17:19:50,"2,843s",PASSED
waitForElementPresent,Chrome 69.0.3497.81,,2018-09-07 17:19:50,2018-09-07 17:19:50,"0,243s",PASSED
,,,,,,
Test Cases/Login,Chrome 69.0.3497.81,,2018-09-07 17:19:52,2018-09-07 17:20:02,"9,999s",PASSED
Statement - input_login = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_username),Chrome 69.0.3497.81,,2018-09-07 17:19:53,2018-09-07 17:19:53,"0,028s",PASSED
Statement - input_pwd = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_password),Chrome 69.0.3497.81,,2018-09-07 17:19:53,2018-09-07 17:19:53,"0,018s",PASSED
verifyElementPresent,Chrome 69.0.3497.81,,2018-09-07 17:19:53,2018-09-07 17:19:53,"0,042s",PASSED
verifyElementPresent,Chrome 69.0.3497.81,,2018-09-07 17:19:53,2018-09-07 17:19:53,"0,032s",PASSED
setText,Chrome 69.0.3497.81,,2018-09-07 17:19:53,2018-09-07 17:19:53,"0,200s",PASSED
setText,Chrome 69.0.3497.81,,2018-09-07 17:19:53,2018-09-07 17:19:53,"0,147s",PASSED
delay,Chrome 69.0.3497.81,,2018-09-07 17:19:53,2018-09-07 17:19:55,"2,038s",PASSED
